ID_LOM;STATUT;TYPE;INTITULE;ADRESSE;QUARTIER;SITUATION;USAGER;ACCESSIBILITE;OUVERTURE;LIEN_PHOTO;REMARQUES;OBJECTID;E;N
8267;Actif;Bâtiment;WC public - Parc La-Grange;Parc La-Grange;Eaux-Vives Cité;Dans l'annexe de la propriété;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8267.html;;58;2501824.09;1117917.43
8264;Actif;Edicule semi-enterré;WC public - Quai Gustave-ADOR - Ancienne douane;Quai Gustave-ADOR 1;Eaux-Vives Cité;Derrière le pavillon de l'ancienne douane, en face de la rue de la Scie;Hommes - Femmes;Marches;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8264.html;;59;2500904.18;1117796.52
2002;Actif;Conteneur;WC public - Uni Mail;Quai Ernest-ANSERMET;Plainpalais Jonction;Dans le parc BAUD-BOVY, face à la sortie arrière d'Uni Mail;Hommes - Femmes;;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_2002_A.html;;60;2499679.65;1116803.74
8212;Actif;Edicule semi-enterré;WC public - Quai marchand des Pâquis - Mouettes;Quai du Mont-Blanc 8;Pâquis Sécheron;"Situé à l'arrêt des ""Mouettes genevoises"" (bateaux-bus), sur le ""quai marchand des Pâquis"", en face de l'hôtel d'Angleterre";Handicapés;Rampe - WC PMR uniquement, avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8212.html;;61;2500635.8;1118380.6
3002;Actif;Pavillon;WC public - Quai du Mont-Blanc - Face Alfred-VINCENT;Quai du Mont-Blanc;Pâquis Sécheron;En face rue Dr-Alfred-VINCENT;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_3002.html;;62;2500585.02;1118350.02
8210;Actif;Edicule enterré;WC public - Saint-Gervais;Place de Saint-Gervais;Grottes Saint-Gervais;En sous-sol, sous la fontaine;Hommes - Femmes;Escaliers;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8210.html;;63;2499980.32;1117981.24
2013;Actif;Conteneur;WC public - Parc de Bourgogne;Parc de Bourgogne;Saint-Jean Charmilles;Vers la pataugeoires;Hommes - Femmes;Marche;de mai à septembre;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_2013.html;;64;2498636.27;1118433.31
2012;Actif;Conteneur;WC public - Quai Gustave-ADOR - Face Avenue William-FAVRE;Quai Gustave-ADOR;Eaux-Vives Cité;En face de l'Avenue William-FAVRE, vers la rotonde de Baby plage;Hommes - Femmes;Marche;de juillet à septembre;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_2012.html;;65;2501462.7;1118165.48
9001;Actif;Edicule;WC public - Jardin Botanique;Chemin de l'Impératrice 1;Pâquis Sécheron;A côté du restaurant;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_9001.html;;66;2500333.19;1120350.54
1004;Actif;Autonettoyant;WC public - Longemalle;Place de Longemalle;Eaux-Vives Cité;A côté du pavillon glacier;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_1004.html;;67;2500548.41;1117694.85
1005;Actif;Autonettoyant;WC public - Parc des Cropettes;Rue du Fort-Barreau;Grottes Saint-Gervais;Parc des Cropettes;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_1005.html;Gratuit de 8h à 20h, payant de 20h à 8h;68;2499717.77;1118659.54
8403;Actif;Edicule;WC public - Cimetière de Saint-Georges - Chapelle;Avenue du Cimetière 1;Acacias Bâtie;Dans le cimetière, du côté des ateliers;Hommes - Femmes - Handicapés;De plain-pied;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8403_A.html;;69;2497783.81;1117330.42
